,SYMBOL,NAME OF COMPANY,isactve,FUT,IDX
353,DHANBANK,Dhanlaxmi Bank Limited,True,False,False
354,DHANUKA,Dhanuka Agritech Limited,True,False,False
355,DHARSUGAR,Dharani Sugars & Chemicals Limited,True,False,False
356,DHFL,Dewan Housing Finance Corporation Limited,True,False,False
357,DHUNINV,Dhunseri Investments Limited,True,False,False
358,DIAMONDYD,Prataap Snacks Limited,True,False,False
359,DIAPOWER,Diamond Power Infra Ltd,True,False,False
360,DICIND,DIC India Limited,True,False,False
361,DIGJAMLTD,Digjam Limited,True,False,False
362,DISHTV,Dish TV India Limited,True,False,False
363,DIVISLAB,Divi's Laboratories Limited,True,False,False
364,DIXON,Dixon Technologies (India) Limited,True,False,False
365,DLF,DLF Limited,True,False,False
366,DLINKINDIA,D-Link (India) Limited,True,False,False
367,DMART,Avenue Supermarts Limited,True,False,False
368,DNAMEDIA,Diligent Media Corporation Limited,True,False,False
369,DOLLAR,Dollar Industries Limited,True,False,False
370,DOLPHINOFF,Dolphin Offshore Enterprises (India) Limited,True,False,False
371,DONEAR,Donear Industries Limited,True,False,False
372,DPL,Dhunseri Petrochem Limited,True,False,False
373,DPSCLTD,DPSC Limited,True,False,False
374,DQE,DQ Entertainment (International) Limited,True,False,False
375,DREDGECORP,Dredging Corporation of India Limited,True,False,False
376,DRREDDY,Dr. Reddy's Laboratories Limited,True,False,False
377,DSSL,Dynacons Systems & Solutions Limited,True,False,False
378,DTIL,Dhunseri Tea & Industries Limited,True,False,False
379,DUCON,Ducon Infratechnologies Limited,True,False,False
380,DWARKESH,Dwarikesh Sugar Industries Limited,True,False,False
381,DYNAMATECH,Dynamatic Technologies Limited,True,False,False
382,DYNPRO,Dynemic Products Limited,True,False,False
383,EASTSILK,Eastern Silk Industries Limited,True,False,False
384,EASUNREYRL,Easun Reyrolle Limited,True,False,False
385,ECEIND,ECE Industries Limited,True,False,False
386,ECLERX,eClerx Services Limited,True,False,False
387,EDELWEISS,Edelweiss Financial Services Limited,True,False,False
388,EDL,Empee Distilleries Limited,True,False,False
389,EDUCOMP,Educomp Solutions Limited,True,False,False
390,EICHERMOT,Eicher Motors Limited,True,False,False
391,EIDPARRY,EID Parry India Limited,True,False,False
392,EIHAHOTELS,EIH Associated Hotels Limited,True,False,False
393,EIHOTEL,EIH Limited,True,False,False
394,EIMCOELECO,Eimco Elecon (India) Limited,True,False,False
395,EKC,Everest Kanto Cylinder Limited,True,False,False
396,ELAND,E-Land Apparel Limited,True,False,False
397,ELECON,Elecon Engineering Company Limited,True,False,False
398,ELECTCAST,Electrosteel Castings Limited,True,False,False
399,ELECTHERM,Electrotherm (India) Limited,True,False,False
400,ELECTROSL,ELECTROSTEEL STEELS LIMITED,True,False,False
401,ELGIEQUIP,Elgi Equipments Limited,True,False,False
402,ELGIRUBCO,Elgi Rubber Company Limited,True,False,False
403,EMAMIINFRA,Emami Infrastructure Limited,True,False,False
404,EMAMILTD,Emami Limited,True,False,False
405,EMCO,Emco Limited,True,False,False
406,EMKAY,Emkay Global Financial Services Limited,True,False,False
