,SYMBOL,NAME,INDFLAG,FO_FLAG
463,GAMMNINFRA,Gammon Infrastructure Projects Limited,0,0
464,GANDHITUBE,Gandhi Special Tubes Limited,0,0
465,GANECOS,Ganesha Ecosphere Limited,0,0
466,GANESHHOUC,Ganesh Housing Corporation Limited,0,0
467,GANGESSECU,Ganges Securities Limited,0,0
468,GANGOTRI,Gangotri Textiles Limited,0,0
469,GARDENSILK,Garden Silk Mills Limited,0,0
470,GARWALLROP,Garware  Wall Ropes Limited,0,0
471,GATI,GATI Limited,0,0
472,GAYAHWS,Gayatri Highways Limited,0,0
473,GAYAPROJ,Gayatri Projects Limited,0,0
474,GDL,Gateway Distriparks Limited,0,0
475,GEECEE,GeeCee Ventures Limited,0,0
476,GEMINI,Gemini Communication Limited,0,0
477,GENESYS,Genesys International Corporation Limited,0,0
478,GENUSPAPER,Genus Paper & Boards Limited,0,0
479,GENUSPOWER,Genus Power Infrastructures Limited,0,0
480,GEOJITFSL,Geojit Financial Services Limited,0,0
481,GEPIL,GE Power India Limited,0,0
482,GESHIP,The Great Eastern Shipping Company Limited,0,0
483,GET&D,GE T&D India Limited,0,0
484,GHCL,GHCL Limited,0,0
485,GICHSGFIN,GIC Housing Finance Limited,0,0
486,GICRE,General Insurance Corporation of India,0,0
487,GILLANDERS,Gillanders Arbuthnot & Company Limited,0,0
488,GILLETTE,Gillette India Limited,0,0
489,GINNIFILA,Ginni Filaments Limited,0,0
490,GIPCL,Gujarat Industries Power Company Limited,0,0
491,GISOLUTION,GI Engineering Solutions Limited,0,0
492,GITANJALI,Gitanjali Gems Limited,0,0
493,GKWLIMITED,GKW Limited,0,0
494,GLAXO,GlaxoSmithKline Pharmaceuticals Limited,0,0
495,GLENMARK,Glenmark Pharmaceuticals Limited,0,0
496,GLFL,Gujarat Lease Financing Limited,0,0
497,GLOBALVECT,Global Vectra Helicorp Limited,0,0
498,GLOBOFFS,Global Offshore Services Limited,0,0
499,GLOBUSSPR,Globus Spirits Limited,0,0
500,GMBREW,GM Breweries Limited,0,0
501,GMDCLTD,Gujarat Mineral Development Corporation Limited,0,0
502,GMMPFAUDLR,GMM Pfaudler Limited,0,0
503,GMRINFRA,GMR Infrastructure Limited,0,0
504,GNA,GNA Axles Limited,0,0
505,GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,0,0
506,GOACARBON,Goa Carbon Limited,0,0
507,GOCLCORP,GOCL Corporation Limited,0,0
508,GODFRYPHLP,Godfrey Phillips India Limited,0,0
509,GODREJAGRO,Godrej Agrovet Limited,0,0
510,GODREJCP,Godrej Consumer Products Limited,0,0
511,GODREJIND,Godrej Industries Limited,0,0
512,GODREJPROP,Godrej Properties Limited,0,0
513,GOENKA,Goenka Diamond and Jewels Limited,0,0
514,GOKEX,Gokaldas Exports Limited,0,0
515,GOKUL,Gokul Refoils and Solvent Limited,0,0
516,GOKULAGRO,Gokul Agro Resources Limited,0,0
517,GOLDENTOBC,Golden Tobacco Limited,0,0
518,GOLDIAM,Goldiam International Limited,0,0
519,GOLDINFRA,Goldstone Infratech Limited,0,0
520,GOLDTECH,Goldstone Technologies Limited,0,0
521,GOODLUCK,Goodluck India Limited,0,0
522,GPIL,Godawari Power And Ispat limited,0,0
523,GPPL,Gujarat Pipavav Port Limited,0,0
524,GPTINFRA,GPT Infraprojects Limited,0,0
525,GRANULES,Granules India Limited,0,0
526,GRAPHITE,Graphite India Limited,0,0
527,GRASIM,Grasim Industries Limited,0,0
528,GRAVITA,Gravita India Limited,0,0
529,GREAVESCOT,Greaves Cotton Limited,0,0
530,GREENLAM,Greenlam Industries Limited,0,0
531,GREENPLY,Greenply Industries Limited,0,0
532,GREENPOWER,Orient Green Power Company Limited,0,0
